food_cd,food_nm,reason
D114-611000000-0001,낙지무침,중복 FOOD_CD
D114-612090000-0001,냉채_닭고기,중복 FOOD_CD
D114-615000000-0001,다시마무침,중복 FOOD_CD
D114-617000000-0001,달래무침,중복 FOOD_CD
D114-619000000-0001,도라지생채,중복 FOOD_CD
D114-622340000-0001,두릅무침_초고추장,중복 FOOD_CD
D114-624000000-0001,마늘쫑무침,중복 FOOD_CD
D114-626000000-0001,무말랭이무침,중복 FOOD_CD
D114-627000000-0001,무생채,중복 FOOD_CD
D114-627050000-0001,무생채_굴,중복 FOOD_CD
D114-629100000-0001,묵무침_도토리묵,중복 FOOD_CD
D114-630280000-0001,물회_오징어,중복 FOOD_CD
D114-631000000-0001,미나리무침,중복 FOOD_CD
D114-632000000-0001,미역초무침,중복 FOOD_CD
D114-633000000-0001,민들레잎무침,중복 FOOD_CD
D114-636060000-0001,버섯무침_느타리버섯,중복 FOOD_CD
D114-637000000-0001,부추무침,중복 FOOD_CD
D114-637240000-0001,부추무침_양파,중복 FOOD_CD
D114-638000000-0001,북어채무침,중복 FOOD_CD
D114-640020000-0001,샐러드_감자,중복 FOOD_CD
D114-640070000-0001,샐러드_단호박,중복 FOOD_CD
D114-640080000-0001,샐러드_닭가슴살,중복 FOOD_CD
D114-640170000-0001,샐러드_새싹,중복 FOOD_CD
D114-640220000-0001,샐러드_양배추,중복 FOOD_CD
D114-640230000-0001,샐러드_양상추,중복 FOOD_CD
D114-640300000-0001,샐러드_옥수수,중복 FOOD_CD
D114-640310000-0001,샐러드_참치,중복 FOOD_CD
D114-640320000-0001,샐러드_채소,중복 FOOD_CD
D114-642000000-0001,양장피,중복 FOOD_CD
D114-644140000-0001,오이무침_부추,중복 FOOD_CD
D114-645000000-0001,오이생채,중복 FOOD_CD
D114-646000000-0001,오이지무침,중복 FOOD_CD
D114-647320000-0001,오징어무침_채소,중복 FOOD_CD
D114-648000000-0001,오징어채무침,중복 FOOD_CD
D114-653000000-0001,톳나물무침,중복 FOOD_CD
D114-655000000-0001,파래무침,중복 FOOD_CD
D114-656000000-0001,파무침,중복 FOOD_CD
D114-657370000-0001,풋고추된장무침_풋고추,중복 FOOD_CD
D114-658000000-0001,풋마늘무침,중복 FOOD_CD
D114-659000000-0001,피조개무침,중복 FOOD_CD
D114-660000000-0001,해초무침,중복 FOOD_CD
D114-662000000-0001,회무침,중복 FOOD_CD
D114-662010000-0001,회무침_가오리,중복 FOOD_CD
D114-673000000-0001,돌나물무침,중복 FOOD_CD
D115-664000000-0001,고들빼기김치,중복 FOOD_CD
D115-665000000-0001,깍두기,중복 FOOD_CD
D115-666000000-0001,깻잎김치,중복 FOOD_CD
D115-667000000-0001,나박김치,중복 FOOD_CD
D115-668000000-0001,동치미,중복 FOOD_CD
D115-669020000-0001,물김치_돌나물,중복 FOOD_CD
D115-672000000-0001,보쌈김치,중복 FOOD_CD
D115-673000000-0001,부추김치,중복 FOOD_CD
D115-674000000-0001,얼갈이배추김치,중복 FOOD_CD
D115-678000000-0001,오이김치,중복 FOOD_CD
D116-684000000-0001,가자미식해,중복 FOOD_CD
D116-685020000-0001,갈치젓_양념,중복 FOOD_CD
D116-687020000-0001,멸치젓_양념,중복 FOOD_CD
D116-689020000-0001,새우젓_양념,중복 FOOD_CD
D116-690020000-0001,오징어젓_양념,중복 FOOD_CD
D116-693010000-0001,꽃게장_간장,중복 FOOD_CD
D116-693020000-0001,꽃게장_양념,중복 FOOD_CD
D117-694000000-0001,단무지,중복 FOOD_CD
D117-695000000-0001,더덕장아찌,중복 FOOD_CD
D117-699040000-0001,매실장아찌_우메보시(일본),중복 FOOD_CD
D117-701000000-0001,무짠지,중복 FOOD_CD
D117-702000000-0001,무초절임(치킨무),중복 FOOD_CD
D117-703000000-0001,오이장아찌,중복 FOOD_CD
D117-704000000-0001,오이지,중복 FOOD_CD
D117-707000000-0001,test,calories 빈값/파싱실패
D120-730000000-0001,미숫가루,중복 FOOD_CD
